"filename", "language", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Client\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\pottassiu\Documents\Weeat\Client\eslint.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\pottassiu\Documents\Weeat\Client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\pottassiu\Documents\Weeat\Client\package-lock.json", "JSON", 0, 5627, 0, 0, 0, 0, 0, 0, 1, 5628
"c:\Users\pottassiu\Documents\Weeat\Client\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\pottassiu\Documents\Weeat\Client\src\@types\Entity.d.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Users\pottassiu\Documents\Weeat\Client\src\@types\styled.d.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\pottassiu\Documents\Weeat\Client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\pottassiu\Documents\Weeat\Client\src\assets\heroImage.svg", "XML", 0, 0, 0, 0, 0, 398, 0, 0, 1, 399
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\Category\styles.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\Footer\index.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\Footer\styles.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 7, 86
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\FormButton\index.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\FormButton\styles.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\MaskInput\styled.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\button\index.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\button\styles.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\errorMessage\styles.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\input\styles.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\index.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 7, 80
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\styles.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 9, 120
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\appContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\authContext.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\storeContext.tsx", "TypeScript JSX", 0, 0, 0, 137, 0, 0, 0, 1, 8, 146
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\userContext.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 9, 141
"c:\Users\pottassiu\Documents\Weeat\Client\src\firebase.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\pottassiu\Documents\Weeat\Client\src\global-style.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\pottassiu\Documents\Weeat\Client\src\helper\URL.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\pottassiu\Documents\Weeat\Client\src\lib\storeForms.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 2, 2, 110
"c:\Users\pottassiu\Documents\Weeat\Client\src\lib\userForms.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\pottassiu\Documents\Weeat\Client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\index.tsx", "TypeScript JSX", 0, 0, 0, 102, 0, 0, 0, 12, 5, 119
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\styles.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 18, 138
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\index.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\styles.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\index.tsx", "TypeScript JSX", 0, 0, 0, 241, 0, 0, 0, 7, 14, 262
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\styles.ts", "TypeScript", 275, 0, 0, 0, 0, 0, 0, 5, 21, 301
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\infra\userProtected.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\index.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 3, 2, 105
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\styles.ts", "TypeScript", 194, 0, 0, 0, 0, 0, 0, 0, 33, 227
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\index.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 2, 89
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\styles.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 0, 15, 142
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\index.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 0, 0, 0, 11, 180
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\styles.ts", "TypeScript", 318, 0, 0, 0, 0, 0, 0, 8, 10, 336
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\index.tsx", "TypeScript JSX", 0, 0, 0, 311, 0, 0, 0, 0, 1, 312
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\styles.ts", "TypeScript", 232, 0, 0, 0, 0, 0, 0, 0, 15, 247
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\useRegister.ts", "TypeScript", 225, 0, 0, 0, 0, 0, 0, 1, 5, 231
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\index.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\styles.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 14, 110
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\index.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 3, 104
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\styles.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 20, 114
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 4, 110
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\styles.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 2, 7, 56
"c:\Users\pottassiu\Documents\Weeat\Client\src\router.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 3, 63
"c:\Users\pottassiu\Documents\Weeat\Client\src\styles\mixins.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\pottassiu\Documents\Weeat\Client\src\styles\theme.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\pottassiu\Documents\Weeat\Client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 2, 3, 26
"c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\pottassiu\Documents\Weeat\Client\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 2322, 5687, 21, 1870, 22, 398, 19, 47, 350, 10736
