Date : 2024-06-23 13:15:13
Directory : c:\Users\pottassiu\Documents\Weeat\Server
Total : 118 files,  341417 codes, 20872 comments, 2851 blanks, all 365140 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         19 |    343,768 |     20,668 |      2,969 |    367,405 |
| JSON               |          5 |        882 |          0 |         -1 |        881 |
| SQL                |         12 |        179 |        162 |         73 |        414 |
| Prisma             |          1 |        122 |          0 |         20 |        142 |
| HTML               |          2 |          7 |          0 |          0 |          7 |
| Properties         |          1 |          3 |          0 |          0 |          3 |
| JSON with Comments |          2 |         -2 |         84 |          6 |         88 |
| Markdown           |          1 |        -22 |          0 |         -9 |        -31 |
| XML                |          1 |       -398 |          0 |         -1 |       -399 |
| TypeScript         |         52 |     -1,252 |        -19 |       -103 |     -1,374 |
| TypeScript JSX     |         22 |     -1,870 |        -23 |       -103 |     -1,996 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        118 |    341,417 |     20,872 |      2,851 |    365,140 |
| . (Files)                                                                                                                           |          4 |      6,591 |         86 |         11 |      6,688 |
| ..                                                                                                                                  |         60 |    -10,339 |        -47 |       -350 |    -10,736 |
| ..\Client                                                                                                                           |         60 |    -10,339 |        -47 |       -350 |    -10,736 |
| ..\Client (Files)                                                                                                                   |          8 |     -5,764 |         -3 |        -20 |     -5,787 |
| ..\Client\src                                                                                                                       |         52 |     -4,575 |        -44 |       -330 |     -4,949 |
| ..\Client\src (Files)                                                                                                               |          6 |       -146 |         -2 |        -19 |       -167 |
| ..\Client\src\@types                                                                                                                |          2 |        -57 |         -1 |         -4 |        -62 |
| ..\Client\src\assets                                                                                                                |          1 |       -398 |          0 |         -1 |       -399 |
| ..\Client\src\components                                                                                                            |         12 |       -407 |          0 |        -51 |       -458 |
| ..\Client\src\components\Category                                                                                                   |          1 |        -18 |          0 |         -4 |        -22 |
| ..\Client\src\components\Footer                                                                                                     |          2 |       -118 |          0 |         -8 |       -126 |
| ..\Client\src\components\FormButton                                                                                                 |          2 |        -23 |          0 |         -7 |        -30 |
| ..\Client\src\components\MaskInput                                                                                                  |          1 |        -17 |          0 |         -3 |        -20 |
| ..\Client\src\components\button                                                                                                     |          2 |        -23 |          0 |         -7 |        -30 |
| ..\Client\src\components\errorMessage                                                                                               |          1 |         -8 |          0 |         -3 |        -11 |
| ..\Client\src\components\input                                                                                                      |          1 |        -16 |          0 |         -3 |        -19 |
| ..\Client\src\components\nav                                                                                                        |          2 |       -184 |          0 |        -16 |       -200 |
| ..\Client\src\context                                                                                                               |          4 |       -315 |         -1 |        -26 |       -342 |
| ..\Client\src\helper                                                                                                                |          1 |         -1 |          0 |         -1 |         -2 |
| ..\Client\src\lib                                                                                                                   |          2 |       -133 |         -2 |         -6 |       -141 |
| ..\Client\src\pages                                                                                                                 |         22 |     -3,086 |        -38 |       -218 |     -3,342 |
| ..\Client\src\pages\Favorites                                                                                                       |          2 |       -222 |        -12 |        -23 |       -257 |
| ..\Client\src\pages\error                                                                                                           |          2 |        -51 |          0 |         -9 |        -60 |
| ..\Client\src\pages\home                                                                                                            |          2 |       -516 |        -12 |        -35 |       -563 |
| ..\Client\src\pages\infra                                                                                                           |          1 |        -16 |          0 |         -5 |        -21 |
| ..\Client\src\pages\store                                                                                                           |          9 |     -1,763 |        -12 |        -94 |     -1,869 |
| ..\Client\src\pages\store\Establishment                                                                                             |          2 |       -294 |         -3 |        -35 |       -332 |
| ..\Client\src\pages\store\login                                                                                                     |          2 |       -214 |          0 |        -17 |       -231 |
| ..\Client\src\pages\store\page                                                                                                      |          2 |       -487 |         -8 |        -21 |       -516 |
| ..\Client\src\pages\store\register                                                                                                  |          3 |       -768 |         -1 |        -21 |       -790 |
| ..\Client\src\pages\user                                                                                                            |          6 |       -518 |         -2 |        -52 |       -572 |
| ..\Client\src\pages\user\login                                                                                                      |          2 |       -170 |          0 |        -18 |       -188 |
| ..\Client\src\pages\user\register                                                                                                   |          2 |       -195 |          0 |        -23 |       -218 |
| ..\Client\src\pages\user\settings                                                                                                   |          2 |       -153 |         -2 |        -11 |       -166 |
| ..\Client\src\styles                                                                                                                |          2 |        -32 |          0 |         -4 |        -36 |
| dist                                                                                                                                |         20 |    343,794 |     20,668 |      2,970 |    367,432 |
| dist (Files)                                                                                                                        |          2 |     28,543 |      1,744 |        270 |     30,557 |
| dist\@types                                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| dist\controllers                                                                                                                    |          5 |     56,359 |      3,457 |        510 |     60,326 |
| dist\middlewares                                                                                                                    |          1 |     27,897 |      1,724 |        248 |     29,869 |
| dist\routes                                                                                                                         |          5 |    140,013 |      8,630 |      1,255 |    149,898 |
| dist\services                                                                                                                       |          6 |     90,981 |      5,113 |        686 |     96,780 |
| prisma                                                                                                                              |         13 |        301 |        162 |         93 |        556 |
| prisma (Files)                                                                                                                      |          1 |        122 |          0 |         20 |        142 |
| prisma\migrations                                                                                                                   |         12 |        179 |        162 |         73 |        414 |
| prisma\migrations\20240525194724_init                                                                                               |          1 |         50 |          5 |         10 |         65 |
| prisma\migrations\20240530021539_aws_migration                                                                                      |          1 |         44 |         44 |         24 |        112 |
| prisma\migrations\20240530024253_taxpayer_capital_letter                                                                            |          1 |          4 |         11 |          2 |         17 |
| prisma\migrations\20240530024831_email_constraint                                                                                   |          1 |          2 |          8 |          2 |         12 |
| prisma\migrations\20240530232521_store_address_update                                                                               |          1 |         11 |         18 |          7 |         36 |
